customer_index,predicted_probability,risk_band,decision_at_0_30,actual_default
4749,0.16726094,10–20%,0,0
6857,0.20554261,20–30%,0,1
4655,0.17286405,10–20%,0,0
802,0.124587946,10–20%,0,0
27235,0.50643456,50–60%,1,0
15033,0.7738955,70–80%,1,1
27198,0.28582612,20–30%,0,1
15056,0.44844505,40–50%,1,0
27652,0.3130781,30–40%,1,0
6731,0.09198996,0–10%,0,0
11710,0.2701926,20–30%,0,0
19824,0.73419154,70–80%,1,1
9130,0.6276615,60–70%,1,1
22689,0.063295715,0–10%,0,0
6571,0.15104064,10–20%,0,0
22927,0.11702448,10–20%,0,0
13980,0.1322107,10–20%,0,0
18912,0.099800594,0–10%,0,0
10328,0.22976077,20–30%,0,0
9386,0.09618918,0–10%,0,0
13136,0.17058252,10–20%,0,0
16327,0.27103344,20–30%,0,0
1357,0.7446425,70–80%,1,1
20938,0.072665505,0–10%,0,0
2008,0.26452067,20–30%,0,1
12090,0.3286672,30–40%,1,0
13874,0.07225229,0–10%,0,0
21258,0.05231727,0–10%,0,0
18955,0.13656577,10–20%,0,1
20585,0.022191567,0–10%,0,0
10032,0.12957253,10–20%,0,1
16853,0.7084111,70–80%,1,1
25601,0.07949944,0–10%,0,0
29527,0.07576831,0–10%,0,0
12052,0.1185748,10–20%,0,0
2073,0.13781217,10–20%,0,0
2535,0.24633999,20–30%,0,0
26475,0.3123376,30–40%,1,1
14400,0.093739636,0–10%,0,0
25783,0.096226536,0–10%,0,0
27454,0.33335626,30–40%,1,0
27472,0.104384735,10–20%,0,0
12696,0.101154245,10–20%,0,0
10571,0.12509757,10–20%,0,1
6308,0.123035386,10–20%,0,0
28316,0.0660581,0–10%,0,0
5250,0.26132885,20–30%,0,0
21421,0.047211453,0–10%,0,0
19841,0.066338375,0–10%,0,0
12128,0.17372192,10–20%,0,1
28581,0.76344204,70–80%,1,0
20736,0.44316053,40–50%,1,0
15101,0.10001865,10–20%,0,0
25447,0.13847062,10–20%,0,0
21022,0.080979906,0–10%,0,0
19603,0.22464867,20–30%,0,1
25367,0.12061138,10–20%,0,0
5988,0.31538257,30–40%,1,0
7477,0.10367996,10–20%,0,0
14541,0.67620546,60–70%,1,1
20953,0.3222467,30–40%,1,0
22649,0.069706626,0–10%,0,0
14814,0.0966261,0–10%,0,0
21386,0.3272187,30–40%,1,0
5975,0.09068254,0–10%,0,0
14412,0.1662155,10–20%,0,0
11692,0.54768777,50–60%,1,0
22517,0.14387618,10–20%,0,0
10880,0.102196924,10–20%,0,0
28106,0.044365104,0–10%,0,0
23300,0.07604656,0–10%,0,0
14151,0.5151981,50–60%,1,0
1499,0.3594856,30–40%,1,0
592,0.15872833,10–20%,0,0
10092,0.057841573,0–10%,0,0
15151,0.71012604,70–80%,1,1
2139,0.15838546,10–20%,0,1
27160,0.7496353,70–80%,1,1
4827,0.12188641,10–20%,0,0
21811,0.78333545,70–80%,1,1
21399,0.12764044,10–20%,0,0
6178,0.15162072,10–20%,0,0
20357,0.21046014,20–30%,0,1
19400,0.28338355,20–30%,0,0
21498,0.1913885,10–20%,0,0
12656,0.101241075,10–20%,0,0
12996,0.7109982,70–80%,1,1
25226,0.3685583,30–40%,1,0
7959,0.6482384,60–70%,1,0
6547,0.09964969,0–10%,0,0
18566,0.15576419,10–20%,0,0
5589,0.16669798,10–20%,0,0
9073,0.3650709,30–40%,1,0
18309,0.16985834,10–20%,0,0
5022,0.14691083,10–20%,0,0
27290,0.08819466,0–10%,0,0
21203,0.59326446,50–60%,1,1
27489,0.16572614,10–20%,0,0
15531,0.56942165,50–60%,1,1
13794,0.19930233,10–20%,0,0
19902,0.19038273,10–20%,0,0
12441,0.11166467,10–20%,0,0
10760,0.20276362,20–30%,0,0
5159,0.06819233,0–10%,0,0
3140,0.47885573,40–50%,1,1
23485,0.11872613,10–20%,0,0
15767,0.2932674,20–30%,0,0
27495,0.1662864,10–20%,0,1
27602,0.01960577,0–10%,0,0
6061,0.68449444,60–70%,1,0
8657,0.08189016,0–10%,0,1
3294,0.023034737,0–10%,0,0
11156,0.08067876,0–10%,0,0
21001,0.5754293,50–60%,1,1
18016,0.3668391,30–40%,1,0
22752,0.09401761,0–10%,0,0
28032,0.7131158,70–80%,1,0
19189,0.22931616,20–30%,0,1
4619,0.089751504,0–10%,0,0
29120,0.094466686,0–10%,0,0
15336,0.22579321,20–30%,0,0
2719,0.23072076,20–30%,0,0
13922,0.29211548,20–30%,0,1
18098,0.48558798,40–50%,1,0
5499,0.058194496,0–10%,0,0
5412,0.22877048,20–30%,0,0
26116,0.13083714,10–20%,0,0
21994,0.054614294,0–10%,0,0
4018,0.36677897,30–40%,1,1
25323,0.059812292,0–10%,0,0
2251,0.7800782,70–80%,1,0
27849,0.6409926,60–70%,1,0
3463,0.1678729,10–20%,0,0
247,0.09531595,0–10%,0,0
26861,0.07409633,0–10%,0,0
14763,0.63728386,60–70%,1,1
2747,0.056059923,0–10%,0,0
25163,0.13573927,10–20%,0,0
2310,0.33379865,30–40%,1,0
19509,0.028654108,0–10%,0,0
7240,0.07355836,0–10%,0,0
9911,0.19792472,10–20%,0,0
11491,0.079338945,0–10%,0,0
13169,0.0666649,0–10%,0,0
27669,0.4249443,40–50%,1,0
11289,0.12697892,10–20%,0,0
2918,0.09908093,0–10%,0,1
28416,0.05560688,0–10%,0,0
5914,0.17936084,10–20%,0,0
12242,0.08583413,0–10%,0,0
15810,0.7438138,70–80%,1,1
26008,0.186402,10–20%,0,0
24742,0.10019192,10–20%,0,0
16522,0.38417467,30–40%,1,0
17469,0.10097245,10–20%,0,0
24341,0.74352723,70–80%,1,1
3330,0.37030408,30–40%,1,0
3728,0.48631212,40–50%,1,1
20335,0.7594511,70–80%,1,1
24387,0.051018346,0–10%,0,0
12552,0.18799108,10–20%,0,1
8400,0.7288586,70–80%,1,0
8541,0.051278763,0–10%,0,1
16005,0.089963205,0–10%,0,0
26467,0.093642786,0–10%,0,0
8465,0.12029402,10–20%,0,0
9550,0.7881282,70–80%,1,0
20919,0.65756476,60–70%,1,1
15818,0.042156365,0–10%,0,0
8809,0.1351181,10–20%,0,0
16387,0.02611008,0–10%,0,0
23133,0.075750194,0–10%,0,1
18744,0.11637547,10–20%,0,0
7476,0.21387295,20–30%,0,1
23601,0.09821092,0–10%,0,0
9713,0.21686222,20–30%,0,0
21857,0.112666346,10–20%,0,0
7596,0.038194638,0–10%,0,0
15197,0.10280269,10–20%,0,0
11075,0.14975,10–20%,0,0
11907,0.81942004,80–90%,1,1
29689,0.23815325,20–30%,0,0
12371,0.5218227,50–60%,1,1
28450,0.1618449,10–20%,0,0
10130,0.044775978,0–10%,0,0
9356,0.092891596,0–10%,0,1
8224,0.54121816,50–60%,1,0
9134,0.053575773,0–10%,0,0
2493,0.04813261,0–10%,0,0
9726,0.28026095,20–30%,0,1
11909,0.12680009,10–20%,0,0
12153,0.15205795,10–20%,0,0
29524,0.5784263,50–60%,1,1
29300,0.8017345,80–90%,1,1
18348,0.1136913,10–20%,0,0
6920,0.18296441,10–20%,0,1
15974,0.11181357,10–20%,0,0
7444,0.1556899,10–20%,0,0
16132,0.6250008,60–70%,1,1
12759,0.10084948,10–20%,0,0
28247,0.1382731,10–20%,0,0
8279,0.12290371,10–20%,0,0
28166,0.12779045,10–20%,0,1
29087,0.56438065,50–60%,1,0
15156,0.16150138,10–20%,0,0
7533,0.11767913,10–20%,0,0
2840,0.14108585,10–20%,0,0
22502,0.4007225,40–50%,1,1
8141,0.09518694,0–10%,0,0
15899,0.12704039,10–20%,0,0
21165,0.80192816,80–90%,1,1
5546,0.17757379,10–20%,0,0
2642,0.22223727,20–30%,0,0
3198,0.24629042,20–30%,0,0
27982,0.102808714,10–20%,0,0
10310,0.12476064,10–20%,0,0
17043,0.7588972,70–80%,1,1
22321,0.12082242,10–20%,0,0
7242,0.13333602,10–20%,0,0
11754,0.27813244,20–30%,0,0
27690,0.10399003,10–20%,0,0
8774,0.13641012,10–20%,0,0
28162,0.12840137,10–20%,0,0
22711,0.04765738,0–10%,0,1
25206,0.13065268,10–20%,0,0
25908,0.18894567,10–20%,0,0
11549,0.10774943,10–20%,0,1
20943,0.64794976,60–70%,1,1
26979,0.06253169,0–10%,0,0
23626,0.07704746,0–10%,0,0
23771,0.06573364,0–10%,0,0
23043,0.12969524,10–20%,0,1
23575,0.2463808,20–30%,0,0
22104,0.11313147,10–20%,0,0
3832,0.20884815,20–30%,0,1
2775,0.09162816,0–10%,0,0
2101,0.7499487,70–80%,1,0
4094,0.075795874,0–10%,0,0
26725,0.059807494,0–10%,0,0
4771,0.16277058,10–20%,0,0
24126,0.67210245,60–70%,1,1
29994,0.732867,70–80%,1,1
12250,0.02522613,0–10%,0,0
28893,0.52984166,50–60%,1,0
16606,0.14866757,10–20%,0,0
4535,0.3287659,30–40%,1,1
13800,0.6545549,60–70%,1,0
14940,0.14236556,10–20%,0,0
12104,0.24888775,20–30%,0,0
9061,0.7503578,70–80%,1,0
3668,0.25892085,20–30%,0,0
22377,0.053565945,0–10%,0,0
15859,0.12797719,10–20%,0,0
21306,0.106118575,10–20%,0,0
19886,0.14217666,10–20%,0,0
10316,0.4991118,40–50%,1,1
13990,0.1321863,10–20%,0,0
24997,0.077240504,0–10%,0,0
27226,0.105834834,10–20%,0,0
23762,0.14441222,10–20%,0,0
20018,0.15683387,10–20%,0,0
17759,0.09511086,0–10%,0,0
2317,0.16254021,10–20%,0,0
305,0.14274858,10–20%,0,0
16554,0.8926943,80–90%,1,1
21196,0.08877964,0–10%,0,0
26512,0.13683394,10–20%,0,0
13716,0.34354383,30–40%,1,0
27894,0.058504503,0–10%,0,0
21480,0.5097854,50–60%,1,1
25082,0.06635362,0–10%,0,0
15529,0.08137064,0–10%,0,0
20439,0.48500705,40–50%,1,1
20805,0.20249547,20–30%,0,1
28592,0.14295144,10–20%,0,0
27704,0.55793476,50–60%,1,0
22098,0.070218936,0–10%,0,0
27744,0.10304135,10–20%,0,0
25826,0.054613505,0–10%,0,0
27595,0.15468751,10–20%,0,1
26881,0.03194553,0–10%,0,0
21968,0.16025408,10–20%,0,0
29968,0.15960038,10–20%,0,0
3976,0.59675574,50–60%,1,0
29491,0.13700911,10–20%,0,1
18696,0.06574632,0–10%,0,0
391,0.04507402,0–10%,0,1
27854,0.13662693,10–20%,0,0
17248,0.69809216,60–70%,1,1
18730,0.1547488,10–20%,0,1
149,0.4148212,40–50%,1,0
15801,0.053143676,0–10%,0,0
24688,0.06835815,0–10%,0,0
14882,0.25404397,20–30%,0,0
28400,0.36505336,30–40%,1,0
5000,0.5015583,50–60%,1,0
18235,0.1419397,10–20%,0,0
22043,0.060524147,0–10%,0,0
28423,0.06818072,0–10%,0,0
564,0.6486032,60–70%,1,0
23411,0.086795695,0–10%,0,0
1662,0.30532756,30–40%,1,0
239,0.09648268,0–10%,0,1
3669,0.08946765,0–10%,0,0
13392,0.13577297,10–20%,0,0
10815,0.6046357,60–70%,1,1
23753,0.3355863,30–40%,1,0
10428,0.053032506,0–10%,0,0
26419,0.17163101,10–20%,0,0
26783,0.086391345,0–10%,0,0
12230,0.43249616,40–50%,1,0
6470,0.23856217,20–30%,0,0
3650,0.055592574,0–10%,0,0
4261,0.20068452,20–30%,0,0
17738,0.18845987,10–20%,0,1
25973,0.097374834,0–10%,0,0
8897,0.2803154,20–30%,0,0
2497,0.17374602,10–20%,0,0
25614,0.044963207,0–10%,0,0
12818,0.25379708,20–30%,0,0
23322,0.14717719,10–20%,0,1
13576,0.10507276,10–20%,0,0
10102,0.79454017,70–80%,1,1
24288,0.045246974,0–10%,0,0
29858,0.27732757,20–30%,0,0
15887,0.044884082,0–10%,0,0
13668,0.1260459,10–20%,0,0
20234,0.043849144,0–10%,0,0
16686,0.5172052,50–60%,1,1
22286,0.49328178,40–50%,1,1
2390,0.43596688,40–50%,1,1
7282,0.104362786,10–20%,0,0
15545,0.6030434,60–70%,1,1
7947,0.31023064,30–40%,1,0
10814,0.12783644,10–20%,0,1
13239,0.5025756,50–60%,1,1
17448,0.09761343,0–10%,0,1
24136,0.06546188,0–10%,0,0
4918,0.022636298,0–10%,0,0
13881,0.32126752,30–40%,1,1
18280,0.29494715,20–30%,0,0
14736,0.102934115,10–20%,0,0
20947,0.041743495,0–10%,0,0
27635,0.16450565,10–20%,0,1
28729,0.08201058,0–10%,0,0
1773,0.7613625,70–80%,1,1
4906,0.32362595,30–40%,1,0
19890,0.11866839,10–20%,0,0
20144,0.079385646,0–10%,0,0
5461,0.14119874,10–20%,0,0
24012,0.6720247,60–70%,1,1
17621,0.21572517,20–30%,0,0
13112,0.09977498,0–10%,0,0
977,0.17210403,10–20%,0,0
19372,0.024750402,0–10%,0,0
22111,0.6844002,60–70%,1,1
18254,0.14316441,10–20%,0,0
24601,0.5683556,50–60%,1,1
26930,0.1826844,10–20%,0,1
10822,0.8081206,80–90%,1,1
28014,0.09424057,0–10%,0,0
14308,0.21268082,20–30%,0,0
2816,0.15973811,10–20%,0,0
7602,0.25132623,20–30%,0,1
26331,0.10004374,10–20%,0,0
22767,0.075999334,0–10%,0,0
8840,0.1891016,10–20%,0,0
10064,0.15240985,10–20%,0,1
22778,0.030016314,0–10%,0,0
689,0.10959289,10–20%,0,0
14927,0.43090007,40–50%,1,1
1084,0.11051606,10–20%,0,0
8894,0.097762704,0–10%,0,0
4007,0.23950557,20–30%,0,0
23518,0.081544235,0–10%,0,0
654,0.19313404,10–20%,0,0
8980,0.10727932,10–20%,0,0
12346,0.7390106,70–80%,1,1
29737,0.7417754,70–80%,1,1
6241,0.08858726,0–10%,0,0
20389,0.5210932,50–60%,1,0
2150,0.16403385,10–20%,0,0
6491,0.40012655,40–50%,1,0
21166,0.74498785,70–80%,1,1
3593,0.7647144,70–80%,1,0
10020,0.14716505,10–20%,0,0
26246,0.4311345,40–50%,1,1
14471,0.7619947,70–80%,1,1
24866,0.21144812,20–30%,0,0
12440,0.073467664,0–10%,0,0
21531,0.13988489,10–20%,0,0
28040,0.15639521,10–20%,0,0
3343,0.21998654,20–30%,0,1
19079,0.105961,10–20%,0,0
3894,0.11741911,10–20%,0,0
5964,0.088176705,0–10%,0,0
21101,0.37597373,30–40%,1,0
29844,0.030281719,0–10%,0,0
10889,0.08236376,0–10%,0,0
11695,0.183461,10–20%,0,0
12071,0.17091915,10–20%,0,0
7206,0.22174262,20–30%,0,0
23583,0.08482619,0–10%,0,0
14559,0.08288935,0–10%,0,0
1402,0.1468817,10–20%,0,1
9517,0.57524747,50–60%,1,1
18539,0.7596501,70–80%,1,1
897,0.7695825,70–80%,1,1
10734,0.066900946,0–10%,0,0
3076,0.11972614,10–20%,0,1
9990,0.046784706,0–10%,0,0
3397,0.41260797,40–50%,1,1
3459,0.07034589,0–10%,0,1
24759,0.39436924,30–40%,1,1
29813,0.052021984,0–10%,0,0
1634,0.10364355,10–20%,0,0
10075,0.1982536,10–20%,0,1
5762,0.29224032,20–30%,0,0
12045,0.106977224,10–20%,0,0
22697,0.17080581,10–20%,0,0
5931,0.065546475,0–10%,0,0
17861,0.16069362,10–20%,0,0
18750,0.046359595,0–10%,0,0
26151,0.06735765,0–10%,0,0
6251,0.20286997,20–30%,0,1
24407,0.11902314,10–20%,0,1
16080,0.06471234,0–10%,0,0
15821,0.17530116,10–20%,0,0
17174,0.6469672,60–70%,1,1
13862,0.15668987,10–20%,0,0
19643,0.031611454,0–10%,0,0
17485,0.7642619,70–80%,1,1
2776,0.7361509,70–80%,1,1
11613,0.16538031,10–20%,0,0
25599,0.2681665,20–30%,0,0
8422,0.08859217,0–10%,0,0
1115,0.10517102,10–20%,0,0
7314,0.08895834,0–10%,0,1
2989,0.08183353,0–10%,0,0
4568,0.1548104,10–20%,0,0
18963,0.23699717,20–30%,0,1
9010,0.14562702,10–20%,0,0
2607,0.2931729,20–30%,0,1
14071,0.5676379,50–60%,1,1
1078,0.28496,20–30%,0,0
6065,0.664257,60–70%,1,0
16325,0.356517,30–40%,1,0
26749,0.70920855,70–80%,1,1
29262,0.17644489,10–20%,0,0
396,0.13282886,10–20%,0,0
23612,0.07867762,0–10%,0,0
1587,0.04980908,0–10%,0,0
26572,0.0998086,0–10%,0,0
20419,0.15888782,10–20%,0,0
21398,0.1282641,10–20%,0,1
11790,0.15287367,10–20%,0,0
11834,0.6588954,60–70%,1,0
4972,0.16307113,10–20%,0,0
17942,0.04152795,0–10%,0,0
18571,0.21509765,20–30%,0,0
27250,0.10561987,10–20%,0,0
29013,0.079206534,0–10%,0,0
24520,0.122895196,10–20%,0,0
22408,0.06434284,0–10%,0,0
756,0.056074232,0–10%,0,0
18117,0.12616207,10–20%,0,0
22616,0.08001644,0–10%,0,0
21313,0.3237657,30–40%,1,0
9762,0.11270294,10–20%,0,1
22894,0.12315585,10–20%,0,0
25142,0.16057394,10–20%,0,0
23931,0.35562283,30–40%,1,0
10789,0.186161,10–20%,0,0
28282,0.09497687,0–10%,0,1
25665,0.1888979,10–20%,0,0
17815,0.12162375,10–20%,0,0
4104,0.6782584,60–70%,1,1
19242,0.07434839,0–10%,0,0
13770,0.1453515,10–20%,0,0
1088,0.17256522,10–20%,0,0
27743,0.16123109,10–20%,0,0
22179,0.033106584,0–10%,0,0
7038,0.14191635,10–20%,0,0
26296,0.048118617,0–10%,0,0
25942,0.4184513,40–50%,1,0
19341,0.13327038,10–20%,0,0
17992,0.044800732,0–10%,0,0
726,0.04234157,0–10%,0,0
18423,0.072464325,0–10%,0,1
17021,0.31286654,30–40%,1,0
23756,0.034752745,0–10%,0,0
11647,0.045253813,0–10%,0,0
15386,0.24195275,20–30%,0,0
17230,0.8223853,80–90%,1,1
6239,0.04730243,0–10%,0,0
9923,0.15572773,10–20%,0,0
2360,0.37785316,30–40%,1,0
26838,0.10828216,10–20%,0,0
24987,0.06544918,0–10%,0,0
12590,0.19163351,10–20%,0,0
29371,0.1548063,10–20%,0,0
20084,0.10536678,10–20%,0,0
16524,0.48046613,40–50%,1,0
12596,0.08428181,0–10%,0,0
8121,0.10331695,10–20%,0,0
9291,0.08103844,0–10%,0,0
1989,0.15136431,10–20%,0,1
23748,0.261655,20–30%,0,0
8873,0.03703618,0–10%,0,0
15548,0.038394995,0–10%,0,1
15316,0.6670053,60–70%,1,1
9601,0.101561554,10–20%,0,0
1294,0.08828259,0–10%,0,0
8760,0.13710122,10–20%,0,0
6523,0.11670921,10–20%,0,0
21212,0.8070481,80–90%,1,0
5492,0.13915963,10–20%,0,0
24118,0.064175144,0–10%,0,0
1723,0.051017407,0–10%,0,0
22997,0.041323047,0–10%,0,0
18502,0.0695429,0–10%,0,0
705,0.15112227,10–20%,0,1
28901,0.08272678,0–10%,0,0
26179,0.10949421,10–20%,0,0
27243,0.16176587,10–20%,0,1
26056,0.077380866,0–10%,0,0
17518,0.102710254,10–20%,0,0
4401,0.18322949,10–20%,0,0
2333,0.25702906,20–30%,0,0
5043,0.09050767,0–10%,0,0
9190,0.7069765,70–80%,1,1
23092,0.31443185,30–40%,1,1
8378,0.16089265,10–20%,0,0
27873,0.024738774,0–10%,0,0
5802,0.07692687,0–10%,0,0
982,0.020531384,0–10%,0,1
7636,0.07311213,0–10%,0,0
6977,0.04465856,0–10%,0,0
15110,0.532416,50–60%,1,0
12934,0.08778685,0–10%,0,0
25153,0.58201087,50–60%,1,1
13078,0.13533385,10–20%,0,0
20329,0.16661838,10–20%,0,0
17564,0.16896604,10–20%,0,0
9935,0.21450135,20–30%,0,0
9622,0.18361941,10–20%,0,0
10992,0.17422225,10–20%,0,0
15170,0.05445505,0–10%,0,0
9552,0.18728614,10–20%,0,0
27991,0.11572989,10–20%,0,0
27135,0.036528975,0–10%,0,0
20050,0.31442183,30–40%,1,0
12903,0.10261093,10–20%,0,0
4678,0.09872494,0–10%,0,0
15848,0.13262646,10–20%,0,0
19851,0.065903455,0–10%,0,0
1101,0.3922771,30–40%,1,1
6781,0.01991313,0–10%,0,0
13453,0.34418365,30–40%,1,0
17547,0.7248484,70–80%,1,1
25687,0.042048316,0–10%,0,0
23104,0.07215497,0–10%,0,0
9097,0.20120518,20–30%,0,0
18902,0.2990407,20–30%,0,0
17349,0.5701914,50–60%,1,1
1755,0.23055325,20–30%,0,0
29946,0.13245331,10–20%,0,0
13695,0.47936416,40–50%,1,0
28834,0.09384862,0–10%,0,1
12370,0.105225824,10–20%,0,0
2931,0.20132455,20–30%,0,0
